iter	Passed	Remaining
851	2795	6715
852	2798	6713
853	2801	6709
854	2804	6705
855	2807	6701
856	2810	6697
857	2814	6694
858	2817	6690
859	2819	6685
860	2822	6681
861	2825	6677
862	2828	6673
863	2831	6669
864	2834	6665
865	2837	6662
866	2840	6658
867	2843	6654
868	2847	6650
869	2850	6646
870	2852	6642
871	2856	6639
872	2859	6635
873	2862	6631
874	2865	6627
875	2868	6624
876	2871	6620
877	2874	6616
878	2877	6612
879	2880	6608
880	2883	6604
881	2886	6600
882	2889	6596
883	2892	6593
884	2895	6589
885	2898	6585
886	2901	6581
887	2904	6577
888	2907	6573
889	2910	6569
890	2913	6565
891	2916	6562
892	2919	6558
893	2922	6554
894	2925	6550
895	2928	6547
896	2931	6543
897	2934	6539
898	2937	6535
899	2940	6531
900	2944	6528
901	2947	6525
902	2950	6521
903	2953	6517
904	2956	6513
905	2959	6509
906	2962	6506
907	2965	6502
908	2968	6498
909	2971	6495
910	2974	6491
911	2977	6487
912	2980	6483
913	2983	6480
914	2986	6476
915	2989	6472
916	2992	6469
917	2996	6465
918	2999	6461
919	3002	6457
920	3005	6453
921	3008	6450
922	3011	6446
923	3014	6443
924	3017	6439
925	3020	6436
926	3023	6432
927	3026	6428
928	3029	6425
929	3032	6421
930	3036	6417
931	3039	6414
932	3042	6411
933	3045	6407
934	3048	6403
935	3051	6400
936	3055	6396
937	3058	6393
938	3061	6390
939	3064	6387
940	3067	6383
941	3071	6379
942	3074	6376
943	3077	6373
944	3080	6368
945	3083	6365
946	3086	6361
947	3089	6358
948	3093	6355
949	3095	6351
950	3098	6346
951	3100	6341
952	3103	6337
953	3106	6332
954	3109	6329
955	3112	6324
956	3115	6321
957	3118	6317
958	3121	6314
959	3124	6311
960	3128	6308
961	3131	6304
962	3134	6300
963	3137	6297
964	3140	6294
965	3143	6290
966	3146	6286
967	3149	6283
968	3153	6280
969	3156	6277
970	3159	6273
971	3162	6270
972	3166	6267
973	3169	6263
974	3172	6260
975	3175	6256
976	3178	6253
977	3181	6249
978	3185	6246
979	3188	6243
980	3191	6239
981	3194	6236
982	3197	6232
983	3200	6229
984	3204	6226
985	3207	6222
986	3210	6218
987	3213	6215
988	3216	6211
989	3219	6207
990	3222	6203
991	3225	6200
992	3228	6197
993	3232	6194
994	3235	6190
995	3238	6187
996	3241	6183
997	3244	6179
998	3247	6176
999	3250	6172
1000	3253	6169
1001	3256	6165
1002	3259	6161
1003	3262	6158
1004	3265	6154
1005	3268	6151
1006	3272	6147
1007	3275	6144
1008	3278	6141
1009	3284	6142
1010	3287	6139
1011	3290	6136
1012	3294	6132
1013	3297	6129
1014	3300	6125
1015	3303	6122
1016	3306	6119
1017	3309	6115
1018	3312	6112
1019	3316	6109
1020	3319	6105
1021	3322	6101
1022	3325	6098
1023	3328	6095
1024	3332	6092
1025	3335	6089
1026	3338	6085
1027	3342	6082
1028	3345	6079
1029	3348	6075
1030	3351	6072
1031	3354	6068
1032	3357	6065
1033	3360	6061
1034	3363	6058
1035	3367	6055
1036	3370	6051
1037	3373	6048
1038	3376	6044
1039	3379	6040
1040	3382	6037
1041	3385	6033
1042	3388	6030
1043	3391	6026
1044	3395	6023
1045	3398	6020
1046	3401	6017
1047	3405	6014
1048	3408	6010
1049	3411	6007
1050	3414	6004
1051	3417	6000
1052	3420	5996
1053	3423	5993
1054	3427	5989
1055	3429	5986
1056	3432	5981
1057	3435	5977
1058	3438	5973
1059	3441	5970
1060	3444	5967
1061	3447	5963
1062	3450	5959
1063	3453	5956
1064	3456	5952
1065	3459	5949
1066	3463	5945
1067	3466	5942
1068	3469	5939
1069	3472	5935
1070	3475	5932
1071	3478	5928
1072	3482	5925
1073	3485	5922
1074	3488	5918
1075	3491	5915
1076	3494	5911
1077	3497	5908
1078	3500	5904
1079	3503	5900
1080	3506	5897
1081	3509	5894
1082	3512	5890
1083	3515	5886
1084	3519	5883
1085	3522	5880
1086	3525	5876
1087	3528	5872
1088	3531	5869
1089	3534	5866
1090	3537	5862
1091	3540	5859
1092	3543	5855
1093	3547	5852
1094	3550	5849
1095	3553	5845
1096	3556	5842
1097	3559	5838
1098	3562	5835
1099	3566	5832
1100	3569	5829
1101	3572	5825
1102	3575	5821
1103	3578	5817
1104	3581	5814
1105	3584	5811
1106	3587	5807
1107	3590	5804
1108	3593	5800
1109	3596	5796
1110	3599	5792
1111	3602	5788
1112	3605	5785
1113	3608	5782
1114	3611	5778
1115	3615	5775
1116	3618	5772
1117	3621	5769
1118	3624	5765
1119	3627	5761
1120	3630	5758
1121	3633	5755
1122	3637	5752
1123	3640	5748
1124	3643	5744
1125	3646	5741
1126	3649	5738
1127	3652	5734
1128	3655	5731
1129	3658	5727
1130	3661	5724
1131	3664	5720
1132	3668	5717
1133	3671	5713
1134	3673	5709
1135	3676	5706
1136	3680	5703
1137	3683	5699
1138	3686	5696
1139	3689	5693
1140	3693	5690
1141	3696	5686
1142	3699	5683
1143	3701	5679
1144	3704	5675
1145	3708	5672
1146	3711	5668
1147	3714	5665
1148	3717	5662
1149	3720	5658
1150	3723	5655
1151	3726	5651
1152	3730	5648
1153	3733	5645
1154	3736	5642
1155	3740	5639
1156	3743	5636
1157	3746	5632
1158	3749	5629
1159	3752	5626
1160	3755	5622
1161	3758	5618
1162	3761	5615
1163	3764	5611
1164	3767	5608
1165	3771	5604
1166	3774	5601
1167	3777	5597
1168	3780	5594
1169	3783	5591
1170	3786	5587
1171	3789	5584
1172	3792	5580
1173	3795	5576
1174	3798	5573
1175	3801	5569
1176	3804	5566
1177	3808	5563
1178	3811	5560
1179	3814	5557
1180	3817	5553
1181	3820	5550
1182	3823	5546
1183	3827	5543
1184	3830	5540
1185	3833	5537
1186	3836	5533
1187	3840	5530
1188	3843	5527
1189	3846	5523
1190	3849	5520
1191	3852	5517
1192	3855	5513
1193	3859	5510
1194	3862	5507
1195	3865	5503
1196	3868	5500
1197	3871	5496
1198	3874	5493
1199	3877	5490
1200	3881	5487
1201	3884	5484
1202	3888	5481
1203	3891	5478
1204	3894	5474
1205	3898	5472
1206	3901	5469
1207	3904	5465
1208	3907	5462
1209	3911	5459
1210	3915	5457
1211	3918	5453
1212	3921	5451
1213	3925	5448
1214	3928	5444
1215	3931	5441
1216	3934	5438
1217	3937	5434
1218	3941	5431
1219	3945	5429
1220	3950	5428
1221	3955	5428
1222	3959	5425
1223	3962	5422
1224	3965	5419
1225	3968	5415
1226	3971	5412
1227	3975	5409
1228	3978	5405
1229	3981	5402
1230	3984	5399
1231	3987	5395
1232	3990	5392
1233	3994	5389
1234	3997	5385
1235	4000	5382
1236	4003	5378
1237	4006	5375
1238	4009	5372
1239	4012	5368
1240	4015	5365
1241	4019	5362
1242	4022	5358
1243	4025	5354
1244	4028	5352
1245	4031	5348
1246	4034	5345
1247	4037	5341
1248	4040	5338
1249	4043	5334
1250	4046	5331
1251	4050	5327
1252	4053	5324
1253	4056	5321
1254	4059	5317
1255	4062	5314
1256	4065	5310
1257	4068	5306
1258	4071	5303
1259	4074	5299
1260	4077	5296
1261	4080	5293
1262	4083	5289
1263	4086	5286
1264	4090	5283
1265	4093	5280
1266	4096	5276
1267	4099	5273
1268	4102	5269
1269	4106	5266
1270	4109	5263
1271	4112	5260
1272	4115	5256
1273	4118	5253
1274	4122	5250
1275	4125	5247
1276	4128	5243
1277	4131	5240
1278	4134	5236
1279	4137	5233
1280	4140	5229
1281	4143	5226
1282	4146	5222
1283	4149	5219
1284	4153	5216
1285	4156	5213
1286	4159	5209
1287	4162	5206
1288	4165	5203
1289	4168	5199
1290	4171	5196
1291	4174	5192
1292	4177	5188
1293	4180	5185
1294	4184	5182
1295	4187	5179
1296	4190	5176
1297	4193	5172
1298	4197	5169
1299	4200	5166
1300	4203	5162
1301	4206	5159
1302	4209	5156
1303	4212	5152
1304	4215	5149
1305	4218	5145
1306	4221	5142
1307	4225	5140
1308	4229	5137
1309	4232	5133
1310	4235	5130
1311	4238	5126
1312	4241	5123
1313	4244	5120
1314	4247	5116
1315	4251	5113
1316	4254	5110
1317	4257	5107
1318	4260	5103
1319	4264	5100
1320	4267	5097
1321	4270	5094
1322	4273	5090
1323	4276	5087
1324	4279	5083
1325	4282	5080
1326	4286	5077
1327	4289	5074
1328	4292	5070
1329	4295	5067
1330	4298	5063
1331	4301	5059
1332	4304	5056
1333	4307	5053
1334	4310	5049
1335	4313	5046
1336	4316	5042
1337	4319	5039
1338	4322	5036
1339	4325	5032
1340	4329	5029
1341	4332	5026
1342	4335	5023
1343	4338	5019
1344	4341	5016
1345	4344	5012
1346	4347	5009
1347	4350	5005
1348	4353	5001
1349	4356	4998
1350	4359	4995
1351	4362	4992
1352	4365	4988
1353	4368	4984
1354	4370	4980
1355	4373	4976
1356	4376	4972
1357	4378	4968
1358	4381	4965
1359	4384	4961
1360	4387	4958
1361	4391	4955
1362	4394	4952
1363	4397	4948
1364	4400	4945
1365	4403	4941
1366	4406	4938
1367	4409	4934
1368	4412	4931
1369	4415	4928
1370	4418	4924
1371	4421	4921
1372	4424	4917
1373	4427	4914
1374	4430	4910
1375	4433	4907
1376	4437	4904
1377	4440	4900
1378	4443	4897
1379	4446	4894
1380	4449	4891
1381	4452	4887
1382	4455	4884
1383	4458	4880
1384	4461	4877
1385	4465	4874
1386	4468	4870
1387	4471	4867
1388	4474	4863
1389	4477	4860
1390	4480	4857
1391	4483	4853
1392	4486	4850
1393	4489	4846
1394	4492	4843
1395	4495	4840
1396	4499	4837
1397	4502	4834
1398	4505	4830
1399	4508	4827
1400	4511	4824
1401	4514	4820
1402	4517	4817
1403	4520	4813
1404	4523	4810
1405	4526	4806
1406	4529	4803
1407	4532	4800
1408	4536	4796
1409	4539	4793
1410	4542	4790
1411	4545	4786
1412	4548	4783
1413	4552	4780
1414	4555	4777
1415	4558	4773
1416	4561	4770
1417	4564	4767
1418	4567	4763
1419	4570	4760
1420	4573	4756
1421	4576	4753
1422	4579	4750
1423	4582	4746
1424	4585	4743
1425	4589	4740
1426	4591	4736
1427	4594	4733
1428	4598	4730
1429	4601	4727
1430	4604	4723
1431	4608	4720
1432	4611	4717
1433	4614	4714
1434	4617	4710
1435	4620	4707
1436	4623	4704
1437	4627	4701
1438	4630	4697
1439	4633	4694
1440	4636	4691
1441	4639	4688
1442	4642	4684
1443	4645	4681
1444	4648	4677
1445	4652	4674
1446	4655	4671
1447	4658	4668
1448	4661	4664
1449	4664	4661
1450	4667	4657
1451	4670	4654
1452	4673	4651
1453	4676	4647
1454	4680	4644
1455	4683	4641
1456	4686	4638
1457	4689	4634
1458	4692	4631
1459	4695	4628
1460	4698	4624
1461	4702	4621
1462	4704	4618
1463	4707	4614
1464	4710	4610
1465	4713	4607
1466	4716	4603
1467	4719	4600
1468	4722	4597
1469	4725	4594
1470	4729	4590
1471	4732	4587
1472	4735	4584
1473	4738	4581
1474	4741	4577
1475	4745	4574
1476	4748	4571
1477	4751	4568
1478	4754	4565
1479	4757	4561
1480	4760	4558
1481	4763	4554
1482	4767	4551
1483	4770	4548
1484	4773	4545
1485	4777	4542
1486	4780	4539
1487	4783	4536
1488	4786	4532
1489	4789	4529
1490	4793	4526
1491	4796	4523
1492	4800	4520
1493	4804	4517
1494	4806	4514
1495	4809	4510
1496	4812	4506
1497	4814	4502
1498	4817	4499
1499	4820	4495
1500	4823	4492
1501	4826	4489
1502	4829	4485
1503	4832	4482
1504	4836	4479
1505	4839	4476
1506	4842	4473
1507	4845	4469
1508	4849	4466
1509	4852	4463
1510	4855	4460
1511	4858	4457
1512	4862	4454
1513	4865	4450
1514	4868	4447
1515	4871	4444
1516	4874	4441
1517	4877	4437
1518	4881	4434
1519	4884	4431
1520	4887	4427
1521	4890	4424
1522	4892	4420
1523	4895	4417
1524	4898	4413
1525	4901	4409
1526	4903	4406
1527	4906	4402
1528	4909	4398
1529	4912	4395
1530	4914	4391
1531	4917	4387
1532	4920	4384
1533	4922	4380
1534	4925	4376
1535	4928	4373
1536	4930	4369
1537	4933	4365
1538	4936	4362
1539	4939	4358
1540	4942	4355
1541	4945	4352
1542	4948	4348
